label,task,model_alias,delta,n,verification_coverage,leakage_rate,pareto_dominated,on_lower_convex_envelope,weak_lambda_interval,unique_lambda_interval,has_positive_lambda_interval,n_rationalizable_in_cell,all_five_simultaneously_optimal_any_lambda
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-1.5,500,0.23,0.09,False,True,"(0, 0.27027)","(0, 0.27027)",True,5,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,-0.75,500,0.156,0.11,False,True,"(0.27027, 0.3125)","(0.27027, 0.3125)",True,5,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,500,0.124,0.12,False,True,"(0.3125, 0.5)","(0.3125, 0.5)",True,5,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,500,0.08,0.142,False,True,"(0.5, 0.666667)","(0.5, 0.666667)",True,5,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,500,0.068,0.15,False,True,"(0.666667, inf)","(0.666667, inf)",True,5,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,500,0.916,0.0,False,True,"(0, 0.0625)","(0, 0.0625)",True,4,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,500,0.852,0.004,False,True,"(0.0625, 0.0921053)","(0.0625, 0.0921053)",True,4,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,500,0.794,0.01,False,False,,,False,4,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,500,0.7,0.018,False,True,"(0.0921053, 0.166667)","(0.0921053, 0.166667)",True,4,False
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,500,0.604,0.034,False,True,"(0.166667, inf)","(0.166667, inf)",True,4,False
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,286,0.26223776223776224,0.3111888111888112,False,False,,,False,2,False
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,286,0.24475524475524477,0.32167832167832167,False,False,,,False,2,False
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,286,0.2727272727272727,0.2972027972027972,False,True,"(0, 0.73913)","(0, 0.73913)",True,2,False
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.75,286,0.1958041958041958,0.35664335664335667,True,False,,,False,2,False
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,1.5,286,0.19230769230769232,0.35664335664335667,False,True,"(0.73913, inf)","(0.73913, inf)",True,2,False
POST_HOC_NORMATIVE_REANALYSIS,code,anthropic_sonnet5,-1.5,286,0.9965034965034965,0.0,False,True,"(0, 0.25)","(0, 0.25)",True,3,False
POST_HOC_NORMATIVE_REANALYSIS,code,anthropic_sonnet5,-0.75,286,0.9825174825174825,0.0034965034965034965,False,True,"(0.25, 0.272727)","(0.25, 0.272727)",True,3,False
POST_HOC_NORMATIVE_REANALYSIS,code,anthropic_sonnet5,0.0,286,0.9790209790209791,0.013986013986013986,True,False,,,False,3,False
POST_HOC_NORMATIVE_REANALYSIS,code,anthropic_sonnet5,0.75,286,0.9545454545454546,0.017482517482517484,True,False,,,False,3,False
POST_HOC_NORMATIVE_REANALYSIS,code,anthropic_sonnet5,1.5,286,0.9440559440559441,0.013986013986013986,False,True,"(0.272727, inf)","(0.272727, inf)",True,3,False
