model_alias,model_label,family,magnitude_label,magnitude,target_latent_rho,n_sim,power_full_009_rule,power_point_estimate_only,mean_improvement,p05_improvement,p95_improvement,mean_bootstrap_hi,mean_latent_adjacent_spearman,mean_pairwise_reversal,mean_auc_span,false_positive_if_zero
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,nan,500,0.0,0.0,-0.00024468168930381537,-0.0009671503124486363,0.00040173770321514344,0.0005396850289966379,0.9999999999999998,0.0,0.0,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.25,1.2891644074495274,nan,500,0.0,0.0,1.9978355305723117e-05,-0.0008210416541947624,0.0012785127598131428,0.0011245156933798297,0.9999999999999998,0.0,0.0,
openai_gpt56_sol,GPT,score_x_difficulty,0.5,2.578328814899055,nan,500,0.0,0.0,0.0008859258967355053,-0.0005927226228183674,0.0029141040129115822,0.0027945574268369443,0.9999999999999998,0.0,0.0,
openai_gpt56_sol,GPT,score_x_difficulty,1.0,5.15665762979811,nan,500,0.214,0.004,0.004053532154409287,0.0012244531683214155,0.007356068844922433,0.007797141954081443,0.9999999999999998,0.0,0.0,
openai_gpt56_sol,GPT,score_x_difficulty,1.5,7.734986444697165,nan,500,0.966,0.53,0.010438794114346105,0.006119447709976899,0.015158578055662352,0.016341592359354815,0.4999999999999999,0.25,0.6014174344436569,
openai_gpt56_sol,GPT,score_x_difficulty,2.0,10.31331525959622,nan,500,1.0,1.0,0.018875218850518332,0.012961248952164911,0.0257087609043935,0.026743091531763255,0.4999999999999999,0.25,0.6014174344436569,
openai_gpt56_sol,GPT,generic_item_noise,0.99,0.056037955336979736,0.99,500,0.0,0.0,-0.00023462134915736143,-0.0008854261606137115,0.0004662790744304772,0.0005270339532332628,0.5503109129396516,0.3161995631262525,0.03487909284195606,0.0
openai_gpt56_sol,GPT,generic_item_noise,0.95,0.12791547196583092,0.95,500,0.0,0.0,-0.00024148912908129817,-0.0009378986158986524,0.0004086208273781547,0.0005232078035426244,0.5502823668894675,0.31620979559118234,0.035461828490432314,
openai_gpt56_sol,GPT,generic_item_noise,0.9,0.18585687187145558,0.9,500,0.0,0.0,-0.00024960655330813264,-0.000998871212970201,0.0004115641409764931,0.0005179635532028195,0.5502417788871156,0.3162132224448898,0.0346047342310418,
openai_gpt56_sol,GPT,generic_item_noise,0.8,0.27878530780718336,0.8,500,0.0,0.0,-0.0002060939377124016,-0.000884074962759368,0.0004631100393149454,0.0006165687272649658,0.5487280750723003,0.3167180200400802,0.03522619418851877,
openai_gpt56_sol,GPT,generic_item_noise,0.7,0.3650156501908518,0.7,500,0.0,0.0,-0.0002707928622752994,-0.001003114400445168,0.0004380889430483975,0.0005255512646752134,0.5376110708122832,0.32042808016032065,0.03694191353649893,
openai_gpt56_sol,GPT,generic_item_noise,0.6,0.4552545012748979,0.6,500,0.0,0.0,-0.00025988572448340974,-0.0010291642867552575,0.0004904187544988443,0.0005295921996650959,0.5042376148704595,0.33153766332665335,0.03905836995038979,
anthropic_sonnet5,Claude,score_x_difficulty,0.0,0.0,nan,500,0.0,0.0,-0.0002955755207831686,-0.0010882134687125345,0.0003796548089519625,0.00045664446768416047,1.0,0.0,0.0,0.0
anthropic_sonnet5,Claude,score_x_difficulty,0.25,1.2891644074495274,nan,500,0.0,0.0,-0.00021440897995534235,-0.0009746234989212232,0.0006682757362077073,0.0006256949953498833,1.0,0.0,0.0,
anthropic_sonnet5,Claude,score_x_difficulty,0.5,2.578328814899055,nan,500,0.0,0.0,-6.970658208446534e-05,-0.0009570674524229245,0.0011444293380684133,0.0009541971257150983,1.0,0.0,0.0,
anthropic_sonnet5,Claude,score_x_difficulty,1.0,5.15665762979811,nan,500,0.004,0.0,0.0007931389649464595,-0.0006235097322133454,0.002930069289024744,0.002729131283990155,1.0,0.0,0.0,
anthropic_sonnet5,Claude,score_x_difficulty,1.5,7.734986444697165,nan,500,0.09,0.002,0.002544109217110688,0.0001939552871290246,0.005731905803006401,0.005907495466371712,0.5,0.25,0.46261366362109946,
anthropic_sonnet5,Claude,score_x_difficulty,2.0,10.31331525959622,nan,500,0.518,0.04,0.005439171605514542,0.0017092484831779777,0.009877496682573638,0.010433736275658845,0.5,0.25,0.46261366362109946,
