label,task,model_alias,score_condition,lambda,leakage_rate,verification_coverage,normalized_loss,regret_best_fixed,oracle_leakage,oracle_coverage,oracle_loss,regret_oracle,best_fixed_loss,error_rate
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.001,0.038,0.396,0.038396,,0.0,0.17,0.00017,0.038225999999999996,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.001,0.12,0.124,0.120124,,0.0,0.17,0.00017,0.11995399999999999,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.001,0.02,0.584,0.020584,0.0,0.0,0.17,0.00017,0.020414,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.001,0.084,0.228,0.08422800000000001,0.063644,0.0,0.17,0.00017,0.08405800000000001,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.001,0.102,0.18,0.10217999999999999,0.08159599999999999,0.0,0.17,0.00017,0.10200999999999999,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.001,0.114,0.144,0.11414400000000001,0.09356,0.0,0.17,0.00017,0.113974,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.001,0.138,0.082,0.138082,0.117498,0.0,0.17,0.00017,0.137912,0.020584,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.002,0.038,0.396,0.038792,,0.0,0.17,0.00034,0.038452,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.002,0.12,0.124,0.120248,,0.0,0.17,0.00034,0.11990799999999999,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.002,0.02,0.584,0.021168,0.0,0.0,0.17,0.00034,0.020828,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.002,0.084,0.228,0.084456,0.06328800000000001,0.0,0.17,0.00034,0.084116,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.002,0.102,0.18,0.10235999999999999,0.08119199999999999,0.0,0.17,0.00034,0.10202,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.002,0.114,0.144,0.114288,0.09312000000000001,0.0,0.17,0.00034,0.113948,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.002,0.138,0.082,0.138164,0.11699600000000002,0.0,0.17,0.00034,0.137824,0.021168,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.005,0.038,0.396,0.03998,,0.0,0.17,0.0008500000000000001,0.03913,0.02292,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.005,0.12,0.124,0.12061999999999999,,0.0,0.17,0.0008500000000000001,0.11976999999999999,0.02292,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.005,0.02,0.584,0.02292,0.0,0.0,0.17,0.0008500000000000001,0.02207,0.02292,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.005,0.084,0.228,0.08514000000000001,0.06222000000000001,0.0,0.17,0.0008500000000000001,0.08429,0.02292,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.005,0.102,0.18,0.10289999999999999,0.07998,0.0,0.17,0.0008500000000000001,0.10204999999999999,0.02292,0.17
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.005,0.114,0.144,0.11472,0.0918,0.0,0.17,0.0008500000000000001,0.11387,0.02292,0.17
