label,task,model_alias,from_condition,to_condition,direction,n,additional_verify_calls,additional_errors_caught,errors_caught_per_added_verify,errors_caught_per_100_verify,added_execution_seconds,errors_caught_per_exec_second
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,displayed_0.95,toward_lower_displayed_confidence,500,33.0,12.0,0.36363636363636365,36.36363636363637,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,displayed_0.90,toward_lower_displayed_confidence,500,31.0,6.0,0.1935483870967742,19.35483870967742,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,displayed_0.85,toward_lower_displayed_confidence,500,36.0,9.0,0.25,25.0,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,displayed_0.70,toward_lower_displayed_confidence,500,178.0,32.0,0.1797752808988764,17.97752808988764,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,displayed_0.70,toward_lower_displayed_confidence,500,251.0,59.0,0.2350597609561753,23.50597609561753,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,displayed_0.95,toward_lower_displayed_confidence,500,41.0,7.0,0.17073170731707318,17.073170731707318,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,displayed_0.90,toward_lower_displayed_confidence,500,65.0,5.0,0.07692307692307693,7.6923076923076925,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,displayed_0.85,toward_lower_displayed_confidence,500,18.0,1.0,0.05555555555555555,5.555555555555555,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,displayed_0.70,toward_lower_displayed_confidence,500,63.0,6.0,0.09523809523809523,9.523809523809524,,
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,displayed_0.70,toward_lower_displayed_confidence,500,177.0,19.0,0.10734463276836158,10.734463276836157,,
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,displayed_0.95,toward_lower_displayed_confidence,286,18.0,14.0,0.7777777777777778,77.77777777777777,50.21885108947753,0.2787797748509912
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,displayed_0.90,toward_lower_displayed_confidence,286,26.0,19.0,0.7307692307692307,73.07692307692308,27.56034877777099,0.6893962102295526
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,displayed_0.85,toward_lower_displayed_confidence,286,25.0,7.0,0.28,28.0,88.83853186607362,0.07879463846332671
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,displayed_0.70,toward_lower_displayed_confidence,286,53.0,23.0,0.4339622641509434,43.39622641509434,146.61635005950922,0.15687199954619435
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,displayed_0.70,toward_lower_displayed_confidence,286,111.0,63.0,0.5675675675675675,56.75675675675676,259.60865043640126,0.24267296137512065
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.99,displayed_0.95,toward_lower_displayed_confidence,286,10.0,0.0,0.0,0.0,34.489282522201535,0.0
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,displayed_0.90,toward_lower_displayed_confidence,286,5.0,1.0,0.2,20.0,9.061370420455933,0.11035858303976981
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,displayed_0.85,toward_lower_displayed_confidence,286,4.0,2.0,0.5,50.0,5.45038332939148,0.36694666762517314
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,displayed_0.70,toward_lower_displayed_confidence,286,1.0,1.0,1.0,100.0,0.1599999999999997,6.2500000000000115
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.99,displayed_0.70,toward_lower_displayed_confidence,286,14.0,4.0,0.2857142857142857,28.571428571428573,44.39531069755554,0.09009960595275765
