label,task,model_alias,policy,worst_case_regret,is_minimax_regret_policy,frac_within_0.01,frac_within_0.02,frac_within_0.05,on_observed_pareto_frontier
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.21399999999999997,False,0.3,0.8,0.8,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.09953999999999999,False,0.1,0.1,0.3,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.38399999999999995,False,0.7,0.8,0.8,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.09199999999999997,False,0.0,0.2,0.4,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.08159599999999999,True,0.0,0.1,0.3,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.09356,False,0.1,0.1,0.3,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.117498,False,0.2,0.2,0.3,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,hidden,0.07400000000000007,False,0.2,0.3,0.9,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,true_q_visible,0.19600000000000006,False,0.7,0.8,0.8,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.70,0.31600000000000006,False,0.7,0.7,0.8,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.85,0.20400000000000007,False,0.3,0.7,0.8,False
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.90,0.18200000000000005,False,0.2,0.8,0.8,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.95,0.062000000000000055,False,0.2,0.4,0.9,True
POST_HOC_POLICY_REANALYSIS,mmlu,anthropic_sonnet5,displayed_0.99,0.037646,True,0.4,0.4,1.0,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,hidden,0.15004545454545454,False,0.0,0.2,0.2,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,true_q_visible,0.18845454545454543,False,0.1,0.1,0.2,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.70,0.1678321678321678,False,0.8,0.8,0.9,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,0.08023426573426573,True,0.1,0.1,0.2,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,0.10464335664335664,False,0.1,0.1,0.2,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,0.1709895104895105,False,0.1,0.1,0.2,True
POST_HOC_POLICY_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,0.21989160839160837,False,0.1,0.1,0.2,True
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,hidden,0.027972027972028024,False,0.9,0.9,1.0,True
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,true_q_visible,0.03146853146853146,False,0.0,0.9,1.0,False
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,0.03496503496503489,False,0.8,0.9,1.0,True
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,0.034965034965035,False,0.8,0.9,1.0,False
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,0.034965034965035,False,0.3,0.9,1.0,False
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,0.027972027972027913,False,0.1,0.9,1.0,False
POST_HOC_POLICY_REANALYSIS,code,anthropic_sonnet5,displayed_0.99,0.013937062937062938,True,0.4,1.0,1.0,True
